Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours), Calories_Burned ,Workout_Type,Water_Intake (liters),Workout_Frequency (days/week),BMI
25,Male,76.5,1.96,120,0.67, 442 ,Strength,2.3,3,19.91
33,Male,113.6,1.99,125,1.38, 949 ,Strength,3.4,2,28.69
31,Female,62.5,1.62,169,1.56," 1,318 ",HIIT,2.7,4,23.81
29,Male,95.2,1.86,141,0.64, 496 ,Yoga,2.5,2,27.52
40,Male,51.7,1.82,160,0.9, 792 ,Strength,3,3,15.61
32,Male,105.3,1.67,143,0.57, 448 ,Cardio,2.9,3,37.76
45,Female,71.2,1.68,144,1.37, 888 ,Strength,1.6,3,25.23
51,Female,78.1,1.51,134,0.92, 555 ,Strength,2.6,3,34.25
19,Female,50.6,1.68,145,1.21, 877 ,Yoga,2.1,3,17.93
49,Male,70.2,1.89,127,0.7, 440 ,Yoga,2.6,3,19.65
40,Female,62.6,1.53,143,1.93," 1,380 ",Cardio,2.7,5,26.74
39,Female,60.6,1.65,167,0.92, 768 ,HIIT,1.7,3,22.26
42,Male,76.4,1.97,157,1.14, 886 ,HIIT,2.6,3,19.69
39,Female,63.3,1.71,125,1.88," 1,175 ",Strength,2.7,4,21.65
39,Female,68.6,1.64,154,1.33," 1,024 ",Cardio,1.5,3,25.51
59,Male,123.3,1.88,161,1.3," 1,036 ",HIIT,2.6,4,34.89
23,Male,107,1.94,120,1.35, 891 ,HIIT,2.9,2,28.43
32,Male,68.3,1.92,165,1.42," 1,289 ",Strength,3.5,2,18.53
54,Female,47.8,1.6,155,1.19, 830 ,Cardio,2.3,4,18.67
50,Female,58.4,1.79,131,1.6, 943 ,HIIT,2.7,4,18.23
25,Female,74.3,1.71,157,1.43," 1,123 ",Yoga,1.6,3,25.41
22,Male,106.8,1.82,130,1, 715 ,Yoga,2.3,4,32.24
56,Male,125.5,1.8,131,1.26, 817 ,Strength,2.7,4,38.73
21,Female,55.2,1.55,161,1.37," 1,103 ",Strength,1.7,4,22.98
23,Female,71.4,1.72,169,1.25," 1,056 ",Strength,1.5,2,24.13
49,Male,77.7,1.61,158,1.03, 806 ,Strength,3.4,3,29.98
47,Male,88.4,1.6,126,1.86," 1,160 ",HIIT,3.5,5,34.53
52,Male,104.8,1.99,130,0.93, 598 ,Cardio,2,2,26.46
57,Male,82.2,1.69,155,1.15, 882 ,Strength,3.4,4,28.78
33,Female,68.2,1.75,150,0.85, 638 ,Strength,1.7,2,22.27
30,Male,91.4,1.99,152,1.37," 1,145 ",HIIT,3.7,3,23.08
59,Female,42.1,1.65,132,1.22, 725 ,Strength,2.2,2,15.46
47,Female,68.7,1.76,137,1.37, 845 ,Strength,2.4,3,22.18
36,Female,47.2,1.74,160,1.5," 1,200 ",Cardio,1.6,4,15.59
34,Male,92,1.76,143,0.73, 574 ,Yoga,3.5,3,29.7
36,Male,56.2,1.95,128,1.09, 767 ,Strength,3.4,4,14.78
45,Male,58.4,1.72,150,1.31, 973 ,HIIT,3.1,4,19.74
43,Male,82.9,1.95,160,1.9," 1,505 ",Cardio,3.5,5,21.8
54,Female,66.9,1.74,129,1.24, 720 ,HIIT,2.1,2,22.1
43,Male,66.3,1.85,121,1.18, 707 ,Cardio,3.2,2,19.37
40,Male,93.6,1.93,157,1.38," 1,192 ",Cardio,2,3,25.13
26,Female,64.1,1.5,134,1.93," 1,293 ",Strength,2.7,5,28.49
29,Male,86.7,1.62,122,1.52," 1,020 ",Strength,3.5,4,33.04
18,Female,62,1.59,162,1.23, 996 ,Strength,2.2,4,24.52
18,Female,58.1,1.61,150,1.9," 1,425 ",Yoga,2.7,4,22.41
51,Female,64.9,1.6,125,1.49, 838 ,Yoga,2.5,4,25.35
49,Female,69.3,1.62,122,1.14, 626 ,HIIT,1.9,4,26.41
42,Female,42.7,1.74,130,1.04, 608 ,Strength,1.6,3,14.1
57,Female,51.4,1.63,134,1.2, 724 ,Yoga,2,4,19.35
18,Female,67.4,1.6,164,0.6, 492 ,Strength,2.4,3,26.33
33,Female,55.6,1.61,147,1.77," 1,301 ",Yoga,2.7,4,21.45
56,Male,125.3,1.86,129,1, 639 ,Yoga,2.2,3,36.22
22,Male,102.1,1.85,157,1.48," 1,278 ",Cardio,2.4,4,29.83
39,Male,61.9,1.77,166,1.32," 1,205 ",Strength,2.3,3,19.76
46,Male,108.8,1.64,169,1.4," 1,171 ",Strength,3.4,3,40.45
20,Female,51.1,1.58,169,0.5, 422 ,Yoga,1.6,2,20.47
29,Male,81.7,1.99,126,1.45," 1,005 ",Strength,3.2,2,20.63
43,Female,42.7,1.66,134,0.73, 440 ,Yoga,1.9,2,15.5
33,Male,81.8,1.99,137,1.59," 1,198 ",Strength,3.5,4,20.66
54,Male,54.6,1.76,137,1.28, 868 ,Cardio,3.3,4,17.63
39,Male,107.7,1.88,160,0.72, 634 ,Strength,3.6,2,30.47
46,Female,56.9,1.6,143,0.88, 566 ,Cardio,1.6,3,22.23
31,Male,78.8,1.71,121,1.49, 992 ,HIIT,2.5,4,26.95
45,Female,48.2,1.64,159,1.25, 894 ,Strength,2.5,4,17.92
22,Female,50.7,1.59,139,1.27, 883 ,Strength,1.8,3,20.05
47,Male,86.6,1.99,153,1.98," 1,500 ",Strength,3.5,4,21.87
22,Male,96.3,1.63,162,1.35," 1,203 ",Cardio,2.4,4,36.25
29,Male,80.8,1.98,145,1.65," 1,316 ",Strength,3.5,5,20.61
33,Female,58,1.53,126,1.84," 1,159 ",Strength,2.7,5,24.78
43,Male,95.9,1.85,157,1.28, 995 ,Yoga,3.4,2,28.02
43,Female,61.5,1.58,149,1.86," 1,247 ",HIIT,2.7,5,24.64
38,Female,40.6,1.79,161,0.62, 499 ,Cardio,2.7,2,12.67
56,Male,82.5,1.87,124,1.51, 927 ,Yoga,3.5,5,23.59
53,Male,105.1,1.84,130,0.69, 444 ,Cardio,2.9,3,31.04
50,Female,58.1,1.58,120,1.93," 1,042 ",Yoga,2.7,5,23.27
47,Female,61,1.76,153,1.54," 1,060 ",HIIT,2.7,5,19.69
54,Female,64.5,1.53,120,1.74, 940 ,Yoga,2.7,4,27.55
40,Male,58.2,1.98,138,1.43," 1,085 ",Cardio,2.5,3,14.85
27,Female,69.5,1.76,121,0.94, 569 ,Strength,2,3,22.44
22,Male,62.2,1.84,140,0.51, 393 ,Strength,2.3,3,18.37
53,Female,68,1.7,139,1.06, 663 ,HIIT,2.4,4,23.53
51,Female,56.3,1.5,142,1.43, 914 ,Cardio,2.4,3,25.02
48,Male,94.5,1.7,140,1.01, 700 ,Cardio,3.5,3,32.7
27,Female,58,1.79,143,1.39, 994 ,Cardio,1.5,2,18.1
36,Male,84,1.94,123,1.8," 1,218 ",HIIT,3.5,5,22.32
49,Male,61,1.87,131,1.14, 739 ,Strength,3,4,17.44
18,Female,64.8,1.53,141,1.98," 1,396 ",Yoga,2.7,5,27.68
22,Male,45.7,1.77,139,1.04, 795 ,HIIT,2.4,3,14.59
21,Male,80.9,1.9,137,1.8," 1,356 ",Yoga,3.5,4,22.41
33,Female,64.1,1.63,120,1.58, 948 ,Strength,2.7,5,24.13
41,Male,67,1.77,149,1.22, 900 ,HIIT,2.6,3,21.39
33,Male,106.5,1.6,152,1.4," 1,170 ",Strength,3.3,4,41.6
19,Male,95.1,1.85,143,1.21, 952 ,Yoga,2.3,4,27.79
45,Female,65.5,1.57,133,0.66, 395 ,Cardio,2.3,2,26.57
49,Male,105.7,1.64,155,1.2, 921 ,Cardio,3.1,3,39.3
44,Female,48,1.76,124,0.88, 491 ,Yoga,2.6,2,15.5
37,Female,69.5,1.5,130,0.69, 448 ,Cardio,2.4,2,30.89
41,Male,66.1,1.69,143,0.77, 545 ,Yoga,3.4,2,23.14
29,Male,68,1.7,150,0.76, 627 ,HIIT,2.9,2,23.53
52,Male,50.3,1.78,132,0.85, 555 ,HIIT,2.3,2,15.88
50,Female,69.3,1.68,135,1.2, 729 ,HIIT,2,2,24.55
50,Male,86.7,1.63,143,1.7," 1,203 ",Cardio,3.5,4,32.63
54,Male,125.9,1.94,132,1.35, 882 ,Strength,2.9,3,33.45
29,Male,88.1,1.93,143,1.88," 1,479 ",Cardio,3.5,5,23.65
20,Male,124.3,1.82,145,1.25, 997 ,Cardio,3.2,3,37.53
18,Male,62,1.85,121,0.88, 586 ,Strength,3,3,18.12
50,Female,69.7,1.72,135,1.24, 753 ,Strength,2,4,23.56
57,Female,60.9,1.52,157,1.31, 926 ,Strength,1.8,3,26.36
27,Male,76.5,1.97,165,1.13," 1,025 ",Strength,2.3,2,19.71
46,Male,94.7,1.82,120,1.47, 873 ,Cardio,3.2,3,28.59
30,Male,67.9,1.75,168,1.25," 1,155 ",Yoga,3.1,2,22.17
29,Male,121.1,1.87,130,1.31, 937 ,HIIT,3.2,4,34.63
48,Female,71.5,1.64,154,1.46," 1,012 ",Yoga,1.9,4,26.58
19,Male,98.6,1.7,162,0.83, 740 ,Cardio,2.4,2,34.12
52,Female,68.2,1.63,148,1.17, 779 ,Strength,2.4,3,25.67
40,Female,57.7,1.69,156,1.18, 920 ,HIIT,2.4,4,20.2
34,Male,124.6,1.63,136,1.41," 1,055 ",HIIT,2.8,3,46.9
43,Female,73,1.59,158,1.31, 931 ,Yoga,2.2,3,28.88
25,Female,59.4,1.51,161,1.62," 1,304 ",Cardio,2.7,5,26.05
46,Female,52,1.65,147,0.7, 463 ,Cardio,1.9,2,19.1
43,Female,42.2,1.65,148,1.33, 886 ,Cardio,2.3,3,15.5
27,Male,89.3,1.64,162,1.82," 1,622 ",HIIT,3.5,4,33.2
43,Male,110,1.76,122,1.09, 658 ,Yoga,3.4,3,35.51
51,Female,66.2,1.58,129,0.86, 499 ,HIIT,2.3,3,26.52
58,Male,58.6,1.66,161,1.21, 964 ,HIIT,2.9,2,21.27
24,Male,51,1.67,133,0.97, 710 ,Strength,2.8,3,18.29
21,Male,101.5,1.95,131,0.97, 699 ,Yoga,3.1,3,26.69
28,Male,114.2,1.87,166,1.05, 959 ,Strength,3.2,3,32.66
46,Male,54.4,1.72,161,0.91, 725 ,Cardio,2.9,2,18.39
53,Female,52.4,1.57,149,1.34, 898 ,HIIT,2.2,3,21.26
42,Male,85.2,1.81,151,1.54," 1,151 ",Yoga,3.5,5,26.01
38,Male,83.6,1.74,151,1.66," 1,379 ",Cardio,3.5,5,27.61
53,Male,115.4,1.92,161,1.36," 1,084 ",Yoga,2.2,4,31.3
27,Male,71.2,1.97,151,0.74, 615 ,HIIT,3.6,3,18.35
54,Female,78.1,1.6,145,1.1, 718 ,Yoga,2.4,4,30.51
26,Female,54.2,1.65,120,1.07, 642 ,Cardio,1.9,4,19.91
41,Female,77.6,1.76,161,1.27, 920 ,Strength,2.2,4,25.05
52,Female,44.1,1.62,121,1.41, 768 ,HIIT,1.6,3,16.8
52,Male,85.5,1.8,136,1.7," 1,144 ",Strength,3.5,5,26.39
53,Female,47.8,1.76,149,1.06, 711 ,HIIT,1.5,4,15.43
35,Male,102.5,1.94,158,0.84, 730 ,Cardio,2.4,2,27.23
56,Male,118,1.9,126,0.66, 412 ,HIIT,3.2,2,32.69
49,Male,82.3,1.84,146,1.29, 932 ,Strength,3.4,4,24.31
41,Male,81.6,1.87,128,1.87," 1,185 ",HIIT,3.5,5,23.33
40,Male,60.2,1.88,141,1.22, 946 ,Cardio,3,3,17.03
49,Female,49.2,1.54,153,1.28, 881 ,HIIT,2.1,3,20.75
54,Female,46.6,1.5,165,1.38," 1,025 ",Strength,2,2,20.71
29,Female,68.7,1.72,168,1.08, 907 ,Cardio,1.7,4,23.22
30,Female,60.6,1.55,120,1.3, 780 ,Strength,1.6,3,25.22
40,Male,52.1,1.61,128,0.87, 612 ,HIIT,3.3,2,20.1
42,Female,46.6,1.77,139,0.61, 382 ,Yoga,2.6,2,14.87
52,Male,65.5,1.74,138,1.48," 1,011 ",Strength,2.8,4,21.63
58,Female,44.2,1.57,155,1.08, 753 ,HIIT,2.3,3,17.93
47,Male,89.1,1.84,159,1.44," 1,133 ",Yoga,3.6,3,26.32
34,Male,65.9,1.62,164,0.81, 731 ,Yoga,2.2,2,25.11
37,Female,55.6,1.57,123,0.97, 597 ,Cardio,2.4,2,22.56
42,Male,63.7,1.98,128,1.37, 868 ,Yoga,3,2,16.25
39,Male,86.2,1.82,160,1.96," 1,725 ",Strength,3.5,5,26.02
30,Female,59.2,1.63,141,1.85," 1,304 ",Strength,2.7,4,22.28
36,Male,85.4,1.88,137,1.98," 1,492 ",Yoga,3.5,5,24.16
53,Female,68.1,1.55,131,1.41, 831 ,HIIT,2.2,4,28.35
29,Female,60,1.62,161,0.85, 684 ,Strength,1.9,2,22.86
58,Female,74.8,1.69,162,1.28, 933 ,Strength,2.3,4,26.19
36,Male,90.3,1.65,158,1.38," 1,199 ",Cardio,3.4,4,33.17
29,Male,86.1,1.65,128,1.66," 1,169 ",HIIT,3.5,4,31.63
26,Male,73.7,1.66,125,0.93, 639 ,Yoga,2.2,2,26.75
24,Female,67.7,1.56,138,1.42, 980 ,HIIT,2.1,3,27.82
45,Male,78.3,1.96,167,1.29," 1,066 ",Cardio,2.2,3,20.38
31,Female,48.2,1.65,166,1.1, 913 ,Cardio,2.5,2,17.7
48,Female,56.8,1.51,126,1.37, 777 ,HIIT,2.1,4,24.91
36,Male,112.4,1.63,135,1.02, 757 ,Cardio,3.4,4,42.3
33,Female,59,1.67,124,0.9, 558 ,Cardio,1.9,3,21.16
22,Male,98.4,1.88,135,0.52, 386 ,Cardio,2.2,2,27.84
52,Male,66.5,1.6,120,1.34, 796 ,HIIT,2.1,4,25.98
29,Male,106.5,1.81,156,1.29," 1,107 ",Cardio,2.5,4,32.51
42,Male,88.4,1.93,158,1.68," 1,314 ",Yoga,3.5,4,23.73
38,Male,88.4,1.79,138,1.74," 1,321 ",Yoga,3.5,5,27.59
53,Female,53.3,1.74,156,1.37, 962 ,Strength,1.8,3,17.6
40,Female,58.1,1.56,136,0.61, 415 ,Yoga,2.2,2,23.87
33,Female,74.2,1.76,145,1.15, 834 ,Strength,1.5,4,23.95
56,Male,84.6,1.63,141,1.01, 705 ,HIIT,2.9,4,31.84
59,Male,78,1.92,127,0.72, 453 ,Cardio,2.7,3,21.16
56,Male,89,1.68,152,1.77," 1,332 ",Yoga,3.5,5,31.53
31,Female,42.7,1.76,121,1.46, 883 ,Strength,2.2,3,13.78
48,Male,83.9,1.82,149,1.9," 1,401 ",HIIT,3.5,5,25.33
22,Female,78.7,1.52,166,1.45," 1,204 ",Strength,2.3,3,34.06
52,Female,65.9,1.52,139,1.27, 794 ,Cardio,2.3,4,28.52
40,Male,76.9,1.92,137,1.13, 851 ,Yoga,3.7,4,20.86
46,Male,84.3,2,162,1.83," 1,467 ",HIIT,3.5,5,21.07
28,Female,62.4,1.6,129,1.1, 710 ,Strength,1.7,3,24.37
35,Male,63.7,1.74,143,1.03, 810 ,HIIT,2.7,4,21.04
29,Female,54.9,1.52,123,1.48, 910 ,Strength,2,3,23.76
26,Male,76.4,1.79,156,1.17," 1,004 ",Strength,2.7,3,23.84
27,Male,106.4,1.86,123,1.34, 907 ,Cardio,3.1,2,30.76
34,Female,68.4,1.5,132,1.37, 904 ,Cardio,2.1,4,30.4
55,Male,63.5,1.86,144,1.36, 969 ,Strength,2.9,4,18.35
24,Female,59.4,1.5,132,1.25, 825 ,Yoga,2,3,26.4
30,Male,113.4,1.91,137,1.27, 957 ,HIIT,3.7,3,31.08
57,Female,61.9,1.52,143,0.92, 592 ,HIIT,2.6,3,26.79
59,Female,70.7,1.68,121,1.17, 637 ,Cardio,1.9,3,25.05
26,Male,111.5,1.9,167,1.02, 937 ,Yoga,2.2,2,30.89
44,Female,72.1,1.66,152,1.4, 958 ,Strength,2.5,2,26.16
19,Male,56.9,1.87,138,0.61, 463 ,Cardio,3.7,3,16.27
22,Male,86.2,1.9,128,1.91," 1,345 ",Strength,3.5,5,23.88
46,Male,59.4,1.68,147,1.16, 844 ,Strength,2.5,4,21.05
54,Female,75.6,1.72,154,0.97, 672 ,Cardio,1.9,3,25.55
55,Female,76.3,1.73,158,1.08, 768 ,Yoga,2.6,3,25.49
36,Male,95.8,1.86,129,1.37, 972 ,HIIT,3.2,3,27.69
25,Male,120.6,1.83,120,1.04, 686 ,Cardio,2.5,3,36.01
18,Female,65.3,1.55,161,1.42," 1,143 ",Yoga,2.2,3,27.18
39,Male,85.3,1.89,140,0.77, 593 ,Strength,3.6,2,23.88
34,Male,68,1.68,128,0.67, 472 ,Cardio,3.4,2,24.09
24,Female,52.6,1.57,166,1.29," 1,071 ",HIIT,2.4,2,21.34
42,Male,63.3,1.77,134,1.32, 876 ,HIIT,3.3,3,20.2
21,Female,76.3,1.65,154,1.14, 878 ,Strength,1.7,3,28.03
53,Male,61,1.63,124,0.54, 331 ,Cardio,3.4,3,22.96
23,Female,67.8,1.61,160,1.34," 1,072 ",HIIT,1.8,2,26.16
48,Male,114.9,1.86,141,1.36, 949 ,Cardio,3.6,3,33.21
36,Male,88,1.71,160,1.87," 1,646 ",HIIT,3.5,5,30.09
56,Female,67.7,1.58,142,1.45, 927 ,Strength,1.9,2,27.12
44,Male,124.8,1.85,126,1.35, 842 ,Strength,3.5,4,36.46
27,Female,53,1.58,142,1.26, 895 ,Cardio,1.8,4,21.23
43,Male,61.2,1.88,163,1.03, 831 ,Yoga,2.9,3,17.32
36,Female,48.7,1.68,144,1.23, 886 ,Yoga,1.6,3,17.25
56,Female,50.6,1.7,146,1.29, 848 ,Strength,2.3,2,17.51
20,Female,72.6,1.73,160,1.27," 1,016 ",HIIT,2.5,3,24.26
30,Female,70.4,1.56,125,1.03, 644 ,Yoga,2.4,4,28.93
45,Male,52.5,1.88,153,1.08, 818 ,Strength,2.9,4,14.85
37,Male,76.3,1.77,128,1.36, 957 ,HIIT,2.1,4,24.35
45,Female,41.2,1.58,168,1.47," 1,111 ",HIIT,2.6,2,16.5
25,Female,55.3,1.76,152,1.56," 1,186 ",Yoga,2.7,4,17.85
58,Female,49.7,1.67,125,1.38, 776 ,Strength,2.3,4,17.82
56,Male,48.3,1.87,156,0.68, 525 ,HIIT,3.3,3,13.81
18,Male,83.2,1.96,150,1.83," 1,510 ",HIIT,3.5,4,21.66
20,Male,120.5,1.73,153,1.01, 850 ,Cardio,3.4,3,40.26
30,Male,121.6,2,160,1.24," 1,091 ",Cardio,3.3,4,30.4
45,Female,73,1.75,148,1.14, 759 ,Yoga,2,4,23.84
42,Female,57.5,1.67,133,1.76," 1,053 ",Cardio,2.7,5,20.62
50,Female,42.7,1.53,155,1.41, 983 ,Strength,2.4,4,18.24
55,Male,129.9,1.73,155,0.69, 529 ,Yoga,3.1,3,43.4
23,Male,108.6,1.92,134,0.89, 656 ,Yoga,3.5,2,29.46
49,Male,88.6,2,127,1.83," 1,150 ",Cardio,3.5,4,22.15
38,Female,49.7,1.51,145,1.25, 906 ,HIIT,2.5,3,21.8
33,Female,56.4,1.54,155,1.06, 822 ,Strength,1.5,3,23.78
38,Male,46.9,1.74,167,1.03, 946 ,Strength,2.6,4,15.49
28,Female,71.3,1.67,140,1.46," 1,022 ",Strength,1.5,4,25.57
54,Male,71.6,1.86,147,1.14, 830 ,Yoga,2.2,3,20.7
53,Male,82.3,1.61,123,1.87," 1,139 ",Strength,3.5,5,31.75
52,Female,70.6,1.69,135,1.36, 826 ,HIIT,2.2,3,24.72
36,Male,109.8,1.62,141,0.84, 651 ,HIIT,3.5,3,41.84
37,Female,73.5,1.69,131,0.54, 354 ,Cardio,1.6,2,25.73
35,Male,85.6,1.85,135,1.78," 1,322 ",Strength,3.5,5,25.01
58,Female,74.6,1.68,159,1.03, 737 ,Yoga,2,4,26.43
31,Female,63.2,1.8,157,0.59, 463 ,Cardio,2.6,2,19.51
32,Female,62.6,1.63,161,1.67," 1,344 ",HIIT,2.7,5,23.56
48,Male,87.1,1.76,156,1.81," 1,398 ",Strength,3.5,5,28.12
18,Male,82.3,1.84,148,1.73," 1,408 ",HIIT,3.5,5,24.31
20,Female,64.3,1.78,137,1.71," 1,171 ",Cardio,2.7,4,20.29
33,Female,53.7,1.66,129,1.25, 806 ,HIIT,2.5,3,19.49
40,Male,63,2,161,1.42," 1,257 ",Strength,2.9,4,15.75
28,Male,128.4,1.86,158,1.06, 921 ,Strength,3.3,4,37.11
29,Male,88,1.89,137,1.75," 1,319 ",Cardio,3.5,5,24.64
27,Female,63.7,1.52,120,1.19, 714 ,Strength,2.1,4,27.57
49,Male,83.7,1.87,158,1.29," 1,009 ",HIIT,2.3,4,23.94
33,Male,102.6,1.75,140,1.4," 1,078 ",HIIT,2.2,3,33.5
25,Female,77.7,1.55,120,0.55, 330 ,Yoga,1.7,2,32.34
55,Male,87.5,1.88,134,1.19, 789 ,Yoga,2.6,4,24.76
29,Male,87,1.86,123,1.52," 1,028 ",Yoga,3.5,4,25.15
41,Male,82.8,1.66,139,1.97," 1,355 ",HIIT,3.5,5,30.05
45,Female,65.4,1.68,129,0.76, 441 ,HIIT,2.6,3,23.17
25,Female,47.2,1.71,142,0.89, 632 ,Cardio,2.5,2,16.14
45,Female,58.2,1.7,160,0.95, 684 ,Yoga,2,3,20.14
53,Female,73.5,1.55,153,1.17, 806 ,HIIT,2.1,4,30.59
43,Female,55.2,1.73,165,1.67," 1,240 ",Cardio,2.7,5,18.44
25,Female,64.4,1.71,167,1.12, 935 ,HIIT,1.8,3,22.02
45,Female,73.5,1.74,152,1.18, 807 ,Cardio,2.3,4,24.28
45,Male,89.6,1.81,153,1.7," 1,287 ",Yoga,3.5,5,27.35
54,Male,86.5,1.76,158,1.48," 1,158 ",Yoga,3.4,3,27.92
58,Female,46.1,1.67,129,1.28, 743 ,Yoga,1.8,4,16.53
53,Male,68.5,1.97,139,1.3, 894 ,HIIT,2.1,3,17.65
44,Male,94.6,1.84,120,1.26, 748 ,HIIT,3.1,4,27.94
34,Female,54.2,1.52,132,1.13, 746 ,Cardio,2.2,3,23.46
26,Male,47.7,1.77,120,1.15, 759 ,Strength,2.7,3,15.23
50,Male,52.2,1.84,124,1.38, 847 ,Strength,3.1,4,15.42
37,Male,88.8,1.95,135,1.58," 1,173 ",Yoga,3.5,5,23.35
30,Male,101,1.68,134,1.46," 1,076 ",Strength,2.9,4,35.79
45,Male,118.4,1.95,168,1.06, 881 ,Yoga,2.4,3,31.14
46,Female,47.9,1.72,147,1.41, 933 ,Cardio,2,3,16.19
30,Female,51.5,1.74,150,1.08, 810 ,Strength,2,3,17.01
52,Female,79.9,1.51,142,0.75, 479 ,Strength,2.6,3,35.04
23,Male,121.3,1.85,167,0.72, 661 ,Yoga,3.6,2,35.44
35,Female,78.9,1.64,164,1.28," 1,050 ",Cardio,2.6,4,29.34
22,Male,88.5,1.62,162,1.88," 1,675 ",Strength,3.5,5,33.72
42,Male,73.5,1.63,136,0.52, 350 ,Strength,3.2,3,27.66
19,Male,127.9,1.93,168,1.27," 1,173 ",Strength,3,4,34.34
27,Male,88.5,1.98,153,1.8," 1,515 ",Cardio,3.5,4,22.57
47,Female,43.4,1.62,132,0.51, 303 ,Cardio,2.3,3,16.54
22,Female,42.8,1.56,133,1.47, 978 ,Strength,2.6,3,17.59
50,Male,64.5,1.79,130,1.17, 753 ,Yoga,2.4,4,20.13
18,Female,50.7,1.53,147,1.29, 948 ,Yoga,2.1,3,21.66
35,Male,59.2,1.66,161,1.3," 1,151 ",Strength,3.2,3,21.48
49,Female,78.9,1.73,151,1.38, 938 ,Cardio,2.3,2,26.36
28,Female,78.7,1.63,154,1.1, 847 ,Strength,1.8,3,29.62
38,Male,68.7,1.92,150,1.31," 1,081 ",Cardio,3,4,18.64
43,Female,53.1,1.59,136,0.82, 502 ,Strength,2.5,2,21
42,Male,64.8,1.65,166,1.1, 904 ,Cardio,2.8,3,23.8
39,Female,50.3,1.61,128,1.17, 749 ,HIIT,2.5,2,19.41
44,Male,102.3,1.63,129,1.34, 856 ,Yoga,2.6,4,38.5
30,Male,62.9,1.92,127,1.13, 789 ,HIIT,3.6,2,17.06
50,Female,56.5,1.6,140,1.88," 1,184 ",Yoga,2.7,5,22.07
51,Female,74.6,1.55,132,0.71, 422 ,Cardio,2.1,2,31.05
58,Male,52,1.79,169,1.12, 937 ,HIIT,3,3,16.23
52,Female,52.1,1.67,124,1.5, 837 ,Yoga,1.5,2,18.68
18,Female,72.2,1.54,125,0.97, 606 ,Strength,1.7,2,30.44
38,Male,85.8,1.8,149,1.72," 1,410 ",Cardio,3.5,4,26.48
23,Male,81.4,1.85,150,1.6," 1,320 ",Cardio,3.5,4,23.78
45,Female,50.9,1.65,136,1.45, 887 ,Strength,2.3,2,18.7
34,Male,52,1.78,130,1.38, 987 ,Strength,2.7,4,16.41
22,Male,71,1.93,139,1.42," 1,086 ",Yoga,2.9,4,19.06
48,Male,80.6,1.77,167,1.51," 1,248 ",Cardio,3.5,4,25.73
22,Female,58.3,1.72,128,1, 640 ,Yoga,1.6,3,19.71
55,Female,63,1.7,121,1.32, 719 ,Strength,2.5,3,21.8
20,Male,111,1.94,156,1.02, 875 ,Cardio,3.3,4,29.49
40,Female,52.6,1.66,120,1.27, 762 ,Strength,1.7,3,19.09
54,Male,116.4,2,123,1.13, 688 ,Yoga,3.1,3,29.1
54,Female,75.6,1.61,155,1.41, 983 ,Yoga,2.5,4,29.17
27,Male,61.6,1.8,144,1.48," 1,172 ",Yoga,3.1,2,19.01
27,Male,108,1.8,122,1.38, 926 ,Cardio,2.5,4,33.33
36,Female,59.3,1.75,128,0.99, 634 ,Strength,2.3,3,19.36
34,Male,75.7,1.94,141,1.18, 915 ,Strength,2.4,4,20.11
38,Female,56.3,1.6,142,1.21, 859 ,Yoga,1.9,4,21.99
31,Female,58.2,1.73,131,1.17, 766 ,Yoga,1.8,3,19.45
26,Male,55.7,1.68,129,1.13, 802 ,Yoga,2.9,3,19.73
18,Male,125.9,1.67,153,1.46," 1,229 ",Yoga,2.2,3,45.14
30,Female,62.7,1.67,162,1.02, 826 ,HIIT,2.6,4,22.48
21,Male,86.6,1.86,129,1.37, 972 ,HIIT,2.6,3,25.03
18,Male,64.5,1.82,149,1.2, 983 ,HIIT,2.4,3,19.47
57,Male,76.6,1.86,141,1.14, 796 ,Yoga,2.8,4,22.14
49,Male,81.4,1.83,125,1.98," 1,225 ",Yoga,3.5,5,24.31
51,Male,60.7,1.71,169,1.14, 954 ,Strength,2.5,2,20.76
45,Female,57.2,1.55,121,1.67, 909 ,Cardio,2.7,5,23.81
48,Female,73,1.59,149,1.19, 798 ,Strength,2.1,3,28.88
25,Male,123.8,1.99,121,1.13, 752 ,HIIT,2.6,3,31.26
56,Male,93.6,1.66,151,1.37," 1,024 ",Strength,2.2,2,33.97
43,Male,76.8,1.92,161,1.24, 988 ,Yoga,2.5,3,20.83
51,Female,54.7,1.53,135,1.11, 674 ,HIIT,2,4,23.37
20,Male,92.3,1.94,131,1.14, 821 ,HIIT,2.1,3,24.52
29,Female,71.8,1.55,120,1.2, 720 ,Cardio,2.4,4,29.89
18,Female,66.9,1.57,127,1.07, 679 ,Cardio,2.2,3,27.14
22,Female,48.7,1.76,167,1.37," 1,144 ",HIIT,2.2,4,15.72
47,Male,66.2,1.71,169,1.42," 1,188 ",HIIT,2.9,3,22.64
47,Female,40,1.76,132,0.8, 475 ,Strength,2.2,3,12.91
34,Male,112.4,1.85,134,1.18, 870 ,HIIT,3.6,4,32.84
40,Female,70,1.55,163,0.85, 693 ,Yoga,1.5,3,29.14
32,Male,84,1.74,127,1.45," 1,013 ",Strength,2.1,3,27.74
54,Female,43.8,1.65,129,1.29, 749 ,Yoga,1.7,4,16.09
38,Male,123.3,1.62,165,1.34," 1,216 ",Yoga,2.3,4,46.98
